,en,pt
ENDING_0,Crooked Plue,"Plue, O Teleportador"
ENDING_10,Sleeping Plue,"Plue, O Dorminhoco"
ENDING_20,Murderer Plue,"Plue, O Matador"
ENDING_30,Destructive Plue,"Plue, O Esmagado"
ENDING_40,Lost Plue,"Plue, O Perdido"
ENDING_50,Home-run Plue,"Plue, O Lançador"
ENDING_60,Poisoned Plue,"Plue, O Envenenado"
ENDING_70,Fallen Plue,"Plue, O Caído"
ENDING_80,Farewell Plue,"Plue, O Fim"
ENDING_90,Future Plue,"Plue, O Futurista"
ENDING_91,Problematic Plue I,"Plue, Das Charadas I"
ENDING_92,Problematic Plue II,"Plue, Das Charadas II"
ENDING_93,Problematic Plue III,"Plue, Das Charadas III"
ENDING_94,Problematic Plue IV,"Plue, Das Charadas IV"
ENDING_95,Problematic Plue V,"Plue, Das Charadas V"
ENDING_96,Problematic Plue VI,"Plue, Das Charadas VI"
ENDING_97,Problematic Plue VII,"Plue, Das Charadas VII"
ENDING_98,Meaningless Plue,"Plue, O Inútil"
ENDING_99,Happy Plue,"Plue, O Feliz"
ENDING_100,Mister Plue,"Plue, O Mestre"
