,en,pt
MKANJI,"                             █████  █████
                             █   █  █   █
                             █████  █████
                             █   █  █   █
                             █████  █████
                             █          █
                             █      █   █
                             █ ████████ █
                             █     ███  █
                             █    ██ █  █
                             █   ██  █  █
                             █  ██  ██ ██","                             █████  █████
                             █   █  █   █
                             █████  █████
                             █   █  █   █
                             █████  █████
                             █          █
                             █      █   █
                             █ ████████ █
                             █     ███  █
                             █    ██ █  █
                             █   ██  █  █
    [Dica] ""Não é rainha""    █  ██  ██ ██"
,,
MCROSS,"                               ▓▓▓▓▓▓▓▓▓▓▓▓▓
                               ▓           ▓
                               ▓   █   █   ▓
                               ▓    █ █    ▓
                               ▓     █     ▓
                               ▓    █ █    ▓
                               ▓   █   █   ▓
                               ▓           ▓
                               ▓▓▓▓▓▓▓▓▓▓▓▓▓","                               ▓▓▓▓▓▓▓▓▓▓▓▓▓
                               ▓           ▓
                               ▓   █   █   ▓
                               ▓    █ █    ▓
                               ▓     █     ▓
                               ▓    █ █    ▓
                               ▓   █   █   ▓
                               ▓           ▓
                               ▓▓▓▓▓▓▓▓▓▓▓▓▓"
,,
MLABYRINTH,"             ▒  ENTRANCE ▒
             ▒           ▒
   ▓▓▓▓▓▓▓▓▓▓▒▒▒▒▒ V ▒▒▒▒▒▓▓▓▓▓▓▓▓▓▓▓
   ▓     ▓  ▓        ▓        ▓  ▓  ▓
   ▓▓▓▓  ▓  ▓  ▓▓▓▓▓▓▓  ▓     ▓  ▓  ▓
   ▓     ▓  ▓           ▓  ▓  ▓  ▓  ▓
   ▓  ▓▓▓▓  ▓▓▓▓▓▓▓  ▓▓▓▓  ▓  ▓  ▓  ▓
   ▓     ▓  ▓     ▓  ▓     ▓  ▓  ▓  ▓
   ▓  ▓  ▓  ▓  ▓  ▓  ▓  ▓  ▓  ▓  ▓  ▓
   ▓  ▓  ▓  ▓  ▓     ▓  ▓  ▓  ▓  ▓  ▓
   ▓  ▓  ▓  ▓  ▓▓▓▓▓▓▓  ▓  ▓  ▓  ▓  ▓
   ▓  ▓                 ▓  ▓  ▓  ▓  ▓
   ▓  ▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓  ▓  ▓  ▓  ▓
   ▓          ▓            ▓  ▓  ▓  ▓
   ▓▓▓▓▓▓▓▓▓  ▓  ▓▓▓▓▓▓▓▓▓▓▓  ▓  ▓  ▓
   ▓          ▓  ▓     ▓      ▓     ▓
   ▓  ▓▓▓▓▓▓▓▓▓  ▓  ▓  ▓▓▓▓▓▓▓▓▓▓▓  ▓
   ▓  ▓     ▓    ▓  ▓  ▓            ▓
   ▓  ▓  ▓  ▓  ▓▓▓  ▓  ▓  ▓▓▓▓▓▓▓▓▓▓▓
   ▓     ▓  ▓       ▓  ▓            ▓
   ▓▓▓▓▓▓▓  ▓▓▓▓▓▓▓▓▓  ▓▓▓▓▓▓▓▓▓▓   ▓
   ▓    (1)   ▓   (2)   ▓    (3)    ▓
   ▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓","             ▒   INÍCIO  ▒
             ▒           ▒
   ▓▓▓▓▓▓▓▓▓▓▒▒▒▒▒ V ▒▒▒▒▒▓▓▓▓▓▓▓▓▓▓▓
   ▓     ▓  ▓        ▓        ▓  ▓  ▓
   ▓▓▓▓  ▓  ▓  ▓▓▓▓▓▓▓  ▓     ▓  ▓  ▓
   ▓     ▓  ▓           ▓  ▓  ▓  ▓  ▓
   ▓  ▓▓▓▓  ▓▓▓▓▓▓▓  ▓▓▓▓  ▓  ▓  ▓  ▓
   ▓     ▓  ▓     ▓  ▓     ▓  ▓  ▓  ▓
   ▓  ▓  ▓  ▓  ▓  ▓  ▓  ▓  ▓  ▓  ▓  ▓
   ▓  ▓  ▓  ▓  ▓     ▓  ▓  ▓  ▓  ▓  ▓
   ▓  ▓  ▓  ▓  ▓▓▓▓▓▓▓  ▓  ▓  ▓  ▓  ▓
   ▓  ▓                 ▓  ▓  ▓  ▓  ▓
   ▓  ▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓  ▓  ▓  ▓  ▓
   ▓          ▓            ▓  ▓  ▓  ▓
   ▓▓▓▓▓▓▓▓▓  ▓  ▓▓▓▓▓▓▓▓▓▓▓  ▓  ▓  ▓
   ▓          ▓  ▓     ▓      ▓     ▓
   ▓  ▓▓▓▓▓▓▓▓▓  ▓  ▓  ▓▓▓▓▓▓▓▓▓▓▓  ▓
   ▓  ▓     ▓    ▓  ▓  ▓            ▓
   ▓  ▓  ▓  ▓  ▓▓▓  ▓  ▓  ▓▓▓▓▓▓▓▓▓▓▓
   ▓     ▓  ▓       ▓  ▓            ▓
   ▓▓▓▓▓▓▓  ▓▓▓▓▓▓▓▓▓  ▓▓▓▓▓▓▓▓▓▓   ▓
   ▓    (1)   ▓   (2)   ▓    (3)    ▓
   ▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓▓"
,,
MDRAGON,"                               .```````.
                        .----.`         `----.
                        {   .  ╚--' '--╝ `   }
                        {   │ `.:o::o:.` │   }
                        {   `   `:+:+:`  .   }
                        '----`.  \WWW/ .'----'
                               `......`","                               .```````.
                        .----.`         `----.
                        {   .  ╚--' '--╝ `   }
                        {   │ `.:o::o:.` │   }
                        {   `   `:+:+:`  .   }
                        '----`.  \WWW/ .'----'
                               `......`"
,,
MMUSHROOMS,"                      _,_,_         _,_,_
          ┌───┐      {_o_O_}       {_O_o_}      ┌───┐
          │░░░│        ) (           ) (        │░░░│
          └─┬─┘       (   )         (   )       └─┬─┘
            │          ) (           ) (          │","                      _,_,_         _,_,_
          ┌───┐      {_o_O_}       {_O_o_}      ┌───┐
          │░░░│        ) (           ) (        │░░░│
          └─┬─┘       (   )         (   )       └─┬─┘
            │          ) (           ) (          │"
